id,name,city,score,number_of_products
2457,اچ پی کالا,تهران,4,79
2458,AGS کالا,تهران,5,84
2459,موبوجت,تهران,5,57
2460,هیراد مارکت,تهران,5,68
2461,اکسین تل,اصفهان,5,47
2462,موبایل باما دات کام,تهران,5,35
2463,ویرا همراه,شیراز,5,60
2464,ایران تک 24,شیراز,5,42
2465,فرا استار,گلسار,5,67
2466,می مارکت,شیراز,5,43
2467,پویش کالا,تهران,5,65
2468,موبایل بازار,تهران,5,81
2469,آریومارکت,نمین,5,55
2470,کلاکه,رشت,5,2
2471,میگ میگ کالا,اصفهان,5,2
2472,اروم تل,ارومیه,5,61
2473,رانسب,مهاباد,2,47
2474,بایفون,تهران,5,42
2475,دی مارکت,تهران,5,51
2476,آیدی کالا,اصفهان,5,35
2477,آنلاین همراه,تهران,5,55
2478,کاریاتل,تهران,5,38
2479,والاترین,تهران,5,62
2480,سی تموم,,5,14
2481,تینو افزار,تهران,5,81
2482,کالافی,تهران,5,71
2483,فرتاک مارکت,تهران,5,18
2484,ماناتل پارس,تهران,5,24
2485,سیپاس,اصفهان,5,43
2486,بولد موبایل,تهران,5,96
2487,دم دستی,کرمان,5,15
2488,پیشآهنگی,تهران,5,29
2489,الوندتل,,5,60
