id,name,city,score,number_of_products
2656,کالاوما,تهران,5,62
2657,حاج بابا,تهران,5,4
2658,گوگل‌کالا,مشهد,5,49
2659,تی تی رستا,تهران,5,16
2660,پخش کالای مرکزی,تهران,5,2
2661,کامپیوتر نیایش,قم,5,1
2662,سنترال تب,یزد,5,8
2663,بازرگانی شبیری,کاشمر,5,21
2664,همراه شاپ,ورامین,5,25
2665,نزدیکه,تهران,5,45
2666,زومیکس,تبریز,5,73
2667,می دکان,تهران,5,28
2668,لوجیما,ورامین,5,26
2669,شانی کالا,تهران,5,67
2670,سازگار آنلاین,تهران,5,14
2671,دیجی شاپینگ,شیراز,5,4
2672,تیکاکالا,تهران,5,61
2673,پارس تکنوتل,تهران,5,32
2674,شیک بای,شیراز,5,22
2675,موبایل آروئین,سمنان,5,37
2676,دیجی موبایل برتر,بروجرد,5,11
2677,حمید آی تی,اصفهان,5,7
2678,کالابرد,تهران,5,5
2679,سینا شاپ,قدس,5,21
2680,موناکوسیستم,تهران,5,5
2681,اساطیر,تهران,5,11
2682,آریان تل,تهران,5,57
2683,دیجیتال سایو,تهران,5,62
2684,رایان دیجیتال,بهبهان,5,12
2685,جاسک,کرج,5,2
2686,اکوتل,مشهد,5,4
2687,تندیس سرویس,تهران,5,33
2688,آی سی تل,بشرویه,5,10
2689,ره‍سانا سیستم,تهران,5,44
2690,موبیکو,قاین,5,18
2691,توربورایان,تهران,5,94
2692,پانیباکس,تهران,5,7
2693,قزوین خرید,قزوین,5,19
2694,بامیکسو,تبریز,5,36
2695,ویاکالا,بردسکن,5,9
2696,دیجی یزد,یزد,5,207
2697,مهرایرانیان,خرمشهر,5,19
2698,آی ام سی,تهران,5,5
2699,کیوی لایف,دامغان,5,6
2700,دیجی لند ام,کرج,5,34
2701,سورنا آی تی,تهران,5,29
2702,ژیامارکت,مهاباد,5,4
2703,کالاورد,تهران,5,88
2704,بروزمارکت,کرمانشاه,4,46
2705,موبوپاندا,بوشهر,5,3
2706,دیجی سوبا,تهران,5,49
2707,آر وی سی,رشت,5,17
2708,دیجی پایا,تهران,5,7
2709,استوریکا,خورموج,5,23
2710,راک موبایل,پردیس,5,23
2711,تات موبو,بوئین زهرا,5,22
2712,زیرپله,تهران,5,37
2713,بامی لند,تهران,5,33
2714,سله شاپ,تهران,5,23
2715,ایران هوم شاپ,شیراز,5,6
2716,ورنا همراه,تهران,5,5
2717,دیجیتل,فردیس,5,15
2718,فون دات,تبریز,5,12
2719,موبایل زرین,بابل,5,33
2720,گجت تاپ,تهران,5,12
2721,رودین,بندرانزلی,5,111
2722,تراست آنلاین,تهران,5,10
2723,کالازون,تهران,5,13
2724,کیان ارتباط گیلان,رشت,5,13
2725,کسرا پارسه,تهران,5,11
2726,تیهوشاپ,ازنا,5,15
2727,دارافون,تهران,5,43
2728,بابرنا,تهران,5,36
2729,کارزین تل,تهران,5,31
2730,سام پخش همراه,شهریار,5,26
2731,ستارگان رز جنوب,شیراز,5,1
2732,پارس پویش همراه,شیراز,5,39
2733,سفیر پارت,تهران,5,7
2734,آی تی سام,تهران,5,31
2735,ایده آل همراه,تهران,5,17
2736,یودیجی,نظرآباد,5,10
2737,بانینو,تهران,5,5
2738,وطن 20,کرج,5,19
2739,اچ کالا,قم,5,5
2740,عصر بازی,تهران,5,15
2741,آسیاتل موبایل,مشهد,5,12
2742,هشت طلایی,تهران,5,9
2743,شبکه کالا,تهران,5,18
2744,ایران گوشی,شیراز,4,38
2745,لاجیک شاپ,کرج,5,11
2746,نورکالا,مبارکه,5,7
2747,نت شبکه,تهران,5,16
2748,هشت کالا,,5,4
2749,بیواسطه کالا,گرگان,5,6
2750,ایتز پرو,خرم آباد,5,6
2751,رتیل,تهران,5,4
2752,سبیت کامپیوتر,تبریز,5,11
2753,موبایل مازیار,صومعه سرا,5,7
2754,اتصالات همراه,مشهد,5,14
2755,پارایا,یزد,5,5
2756,مانا موبایل,مشهد,5,28
2757,فوپ آی تی,تهران,5,23
2758,لوتوس,تهران,5,18
2759,شیائومی اپال,تهران,5,29
2760,بساطی,تهران,5,9
2761,نابیتک,,5,5
2762,می استور,قم,5,7
2763,سریرکالا,تهران,5,16
2764,ده ستاره,بیرجند,5,5
2765,فروشگاه دیدبرتر,تهران,5,17
2766,موبایل ابراهیم,مراوه تپه,5,8
2767,کالا مالز,سایر,5,2
2768,هپتامک,کرج,5,25
2769,عیاران,تهران,5,9
2770,می دیجی,بابل,5,14
2771,نماشاپ,زنجان,5,7
2772,دیجی فورسی,بندرلنگه,5,17
2773,شیائومی مستر,تهران,5,16
2774,می سلام,تهران,5,10
2775,دیدنیها کالا,گرگان,5,4
2776,علاالدینی ها,تهران,5,18
2777,شایگان سیستم,تهران,5,22
2778,خریدباز,رشت,5,8
2779,شهر ارتباط تکتا,اصفهان,5,1
2780,حامیران همراه,مشهد,5,2
2781,MPC,شیراز,5,2
2782,دوچن,کامیاران,5,14
2783,بای می,ورامین,5,8
2784,همتاسل,لنگرود,5,21
2785,ارتباط همراه,تهران,4,6
2786,دیجی سامتل,,5,12
2787,اوراسل,تهران,5,22
2788,دیجی فردا,ساری,5,6
2789,پلازیو,تهران,5,4
2790,سبد خرید,آباده,5,2
2791,درشکه چی,تهران,5,11
2792,گروه اسکایپ,تبریز,5,5
2793,خاجی کالا,ملارد,5,3
2794,وحید جانبی,تبریز,5,11
2795,گریین کالا,نقده,5,62
2796,چارتر کالا,مشهد,5,10
2797,زنبیل,تهران,5,19
2798,مودم باما,قم,5,8
2799,بیدلیک,تهران,5,6
2800,موبوفان,مهرگان,5,30
2801,ایده سافت,تهران,5,3
2802,اناسیس,تهران,5,11
2803,رستا,شیراز,5,8
2804,رایان موبایل,نیشابور,5,20
2805,عصرتولز,تهران,5,5
2806,فروشگاه نفیس 24,تهران,5,24
2807,فی کالا,شهرضا,5,12
2808,جاست شیائومی,تهران,5,10
2809,اینتل موبایل,سردشت,5,8
2810,قطعات شیائومی حلما,شیراز,5,1
2811,گروه تجاری سها,یزد,5,7
2812,میلیناکو,پیرانشهر,4,15
2813,آلفامی,ارومیه,5,14
