id,name,price,count_of_merchant,url_address
34434,گوشی اپل آیفون 11 حافظه 128 رم 4 گیگابایت,19990000,65,http://torob.com/p/2e9ae6b6-743b-4171-a4e3-ce96653611b3/گوشی اپل آیفون 11 حافظه 128 رم 4 گیگابایت
34435,گوشی سامسونگ A51 حافظه 256  رم 8 گیگابایت,6300000,26,http://torob.com/p/0cd07be9-a482-4b66-a0d6-e104ff346911/گوشی سامسونگ A51 حافظه 256  رم 8 گیگابایت
34436,گوشی شیائومی Redmi Note 9 حافظه 64 رم 3 گیگابایت,3376000,68,http://torob.com/p/754cda76-f039-43c7-b552-b03952134c32/گوشی شیائومی Redmi Note 9 حافظه 64 رم 3 گیگابایت
34437,گوشی شیائومی Poco X3 NFC حافظه 128 رم 6 گیگابایت,5955000,84,http://torob.com/p/bcbf8da1-0b4d-4080-b65b-8ce2b2df7e4a/گوشی شیائومی Poco X3 NFC حافظه 128 رم 6 گیگابایت
34438,گوشی اپل آیفون 12 Pro حافظه 256 رم 6 گیگابایت,32900000,79,http://torob.com/p/2adee76e-58cd-4126-8e21-2ffa4c5fe7f8/گوشی اپل آیفون 12 Pro حافظه 256 رم 6 گیگابایت
34439,گوشی سامسونگ A11 حافظه 32 رم 3 گیگابایت,2640000,78,http://torob.com/p/086cb129-006a-495e-8764-48ecdf65fdf6/گوشی سامسونگ A11 حافظه 32 رم 3 گیگابایت
34440,گوشی شیائومی Redmi 9T حافظه 64 رم 4 گیگابایت,3615000,52,http://torob.com/p/0b8075d1-694b-418e-b7c4-a3f5b7103ec6/گوشی شیائومی Redmi 9T حافظه 64 رم 4 گیگابایت
34441,گوشی سامسونگ A71 حافظه 128 رم 8 گیگابایت,8490000,46,http://torob.com/p/d82aea06-6891-431d-8b23-0f00e7061bc5/گوشی سامسونگ A71 حافظه 128 رم 8 گیگابایت
34442,گوشی شیائومی PoCo X3 حافظه 64 رم 6 گیگابایت,5064000,47,http://torob.com/p/bd14511b-1be6-4ef7-876d-66ec2d84b5d2/گوشی شیائومی PoCo X3 حافظه 64 رم 6 گیگابایت
34443,گوشی سامسونگ A02 حافظه 64 رم 3 گیگابایت,2400000,54,http://torob.com/p/862267cc-7e2f-4ae4-a468-4544b972ef66/گوشی سامسونگ A02 حافظه 64 رم 3 گیگابایت
34444,گوشی شیائومی Redmi Note 10 حافظه 128 رم 4 گیگابایت,4799000,73,http://torob.com/p/d0149344-4a4e-4e73-910b-da19a4211e44/گوشی شیائومی Redmi Note 10 حافظه 128 رم 4 گیگابایت
34445,گوشی شیائومی PoCo X3 NFC حافظه 64 رم 6 گیگابایت,4955000,97,http://torob.com/p/10c42505-36d2-4a8d-bdcb-93280e77c6ae/گوشی شیائومی PoCo X3 NFC حافظه 64 رم 6 گیگابایت
34446,گوشی شیائومی Redmi Note 9 Pro حافظه 128 رم 6 گیگابایت,6390000,59,http://torob.com/p/ef6f3882-286f-43ed-8852-940548a49b5c/گوشی شیائومی Redmi Note 9 Pro حافظه 128 رم 6 گیگابایت
34447,گوشی اپل آیفون X ظرفیت 256 گیگابایت,13404400,8,http://torob.com/p/e4749c93-42d9-46b2-8b4a-526d5b30547e/گوشی اپل آیفون X ظرفیت 256 گیگابایت
34448,گوشی سامسونگ (A01 Core (A3 Core حافظه 16 رم 1 گیگابایت,1530000,135,http://torob.com/p/4cc50910-d167-45d0-9b81-65123e8f7e05/گوشی سامسونگ (A01 Core (A3 Core حافظه 16 رم 1 گیگابایت
34449,گوشی شیائومی Redmi Note 9S حافظه 128 رم 6 گیگابایت,5747200,53,http://torob.com/p/bbfd66bc-6486-4997-b4f3-35720b6d5301/گوشی شیائومی Redmi Note 9S حافظه 128 رم 6 گیگابایت
34450,گوشی سامسونگ S20 FE حافظه 128 رم 8 گیگابایت,10240000,60,http://torob.com/p/427ac4ec-48f5-43ac-9af7-47ac0e27514b/گوشی سامسونگ S20 FE حافظه 128 رم 8 گیگابایت
34451,گوشی هوآوی Y8p حافظه 128 رم 6 گیگابایت,3758000,27,http://torob.com/p/e94ebe37-b662-4d9b-8ee1-58469acfe5cc/گوشی هوآوی Y8p حافظه 128 رم 6 گیگابایت
34452,گوشی سامسونگ A52 حافظه 128 رم 8 گیگابایت,8999000,29,http://torob.com/p/fa1c60dd-be96-4c52-98a1-11a563b8c85f/گوشی سامسونگ A52 حافظه 128 رم 8 گیگابایت
34453,گوشی سامسونگ M31 حافظه 128 رم 6 گیگابایت,5740800,29,http://torob.com/p/729ad07f-3362-42bd-a161-7eb6bac7db59/گوشی سامسونگ M31 حافظه 128 رم 6 گیگابایت
34454,گوشی شیائومی Poco X3 حافظه 128 رم 6 گیگابایت,5899000,77,http://torob.com/p/92122e0a-e7eb-4926-9ff2-5f6c3bee4376/گوشی شیائومی Poco X3 حافظه 128 رم 6 گیگابایت
34455,گوشی سامسونگ A31 حافظه 128 رم 6 گیگابایت,5049000,68,http://torob.com/p/f5e13928-4ed7-421e-8a98-dcad39f3fc85/گوشی سامسونگ A31 حافظه 128 رم 6 گیگابایت
34456,گوشی شیائومی Mi 10T 5G حافظه 128 رم 6 گیگابایت,8670000,39,http://torob.com/p/119565af-aa8a-49c9-b9ae-04745df0fa7b/گوشی شیائومی Mi 10T 5G حافظه 128 رم 6 گیگابایت
34457,گوشی شیائومی Mi 10T 5G حافظه 128 رم 8 گیگابایت,9295000,34,http://torob.com/p/045e8c71-55d8-4de1-b192-aa48a5b79d67/گوشی شیائومی Mi 10T 5G حافظه 128 رم 8 گیگابایت
34458,گوشی سامسونگ  A52 حافظه 256 رم 8 گیگابایت,8899000,16,http://torob.com/p/bed8ed81-d5b6-4139-b1ea-1bab1d66129e/گوشی سامسونگ  A52 حافظه 256 رم 8 گیگابایت
34459,گوشی شیائومی Redmi 9A حافظه 32 رم 2 گیگابایت,2199000,62,http://torob.com/p/1fb74d2b-43bb-4c92-b01e-c32cfc93787f/گوشی شیائومی Redmi 9A حافظه 32 رم 2 گیگابایت
34460,گوشی شیائومی Redmi 9C  حافظه 64 رم 3 گیگابایت,2798000,60,http://torob.com/p/87d7eb03-f9b2-4cc1-b39b-dff423057ff3/گوشی شیائومی Redmi 9C  حافظه 64 رم 3 گیگابایت
34461,گوشی سامسونگ A02s حافظه 32 رم 3 گیگابایت,2550000,72,http://torob.com/p/0f53f7a6-2ba7-4066-9a2a-bf285701dcbf/گوشی سامسونگ A02s حافظه 32 رم 3 گیگابایت
34462,گوشی شیائومی Mi 11 Lite حافظه 128 رم 8 گیگابایت,7930000,17,http://torob.com/p/760f5c4c-5b93-4c68-b437-e5fae708b1b6/گوشی شیائومی Mi 11 Lite حافظه 128 رم 8 گیگابایت
34463,گوشی سامسونگ S20 FE 5G حافظه 128 رم 8 گیگابایت,12650000,25,http://torob.com/p/2317b81f-e5b1-46d1-809d-20cb261a4b9c/گوشی سامسونگ S20 FE 5G حافظه 128 رم 8 گیگابایت
